Participant,C1,C2,Delta
P1,67.42391770252893,76.36545431821024,-8.941536615681315
P2,5.074999999999999,2.901450725362681,2.173549274637318
P3,24.98749374687344,45.1,-20.11250625312656
P4,22.005501375343837,51.32,-29.314498624656164
P5,37.375,70.40000000000002,-33.02500000000002
P6,42.777110844337734,66.42671465706857,-23.649603812730838
P7,52.14,38.12859644733551,14.01140355266449
P8,27.681920480120038,62.65933516620844,-34.97741468608841
P9,23.749999999999996,30.457614403600896,-6.7076144036009
P10,77.025,66.69333866773356,10.33166133226645
